"Brand";"Series";"Steel";"C, %";"CrMoV, %";"Length";"Width";"Grinding";"Honing";"Comments";"Category"
"Arcos";"";"";"";"";"";"";24;2,4;"";"low_quality"
"Baccarat";"";"";"";"";"";"";24;2,4;"";"low_quality"
"Crofton";"";"";"";"";"";"";24;2;"";"low_quality"
"Evolution";"";"";"";"";"";"";24;2;"";"low_quality"
"FÜRI";"";"";"";"";"";"";24;2;"";"low_quality"
"ICEL Benedita Portugal";"";"";"";"";"";"";28;2;"";"low_quality"
"Jamie Oliver knives";"";"";"";"";"";"";24;0,4;"";"low_quality"
"NELLA";"";"";"";"";"";"";24;2,4;"";"low_quality"
"WiltShire";"";"";"";"";"";"";24;2;"";"low_quality"
"F.Dick";"";"";"";"";"";"";30;2;"";"medium_quality"
"IVO Portugal";"";"X50CrMoV15";0,5;15;"";"";24;2;"";"medium_quality"
"Messermeister";"";"X50CrMoV15";0,5;15;"";"";24;1,6;"";"medium_quality"
"MUNDIAL";"";"x45CrMo14";0,45;14;"";"";24;2;"";"medium_quality"
"Opinel Carbone";"";"";"";"";"";"";24;2;"";"medium_quality"
"Robert Welch";"";"X50CrMoV15";0,5;15;"";"";24;1,6;"";"medium_quality"
"SCANPAN knives 1.4116";"";"x45CrMoV15";0,45;15;"";"";24;2;"";"medium_quality"
"VG1";"";"";"";"";"";"";24;0,4;"";"medium_quality"
"Victorinox";"";"";"";"";"";"";24;2;"";"medium_quality"
"Victorinox SWIBO";"";"";"";"";"";"";24;1,6;"";"medium_quality"
"Wüsthof";"";"";"";"";"";"";24;2;"";"medium_quality"
"Zwilling Henckels";"";"";"";"";"";"";24;2;"";"medium_quality"
"";"";"440C";1,1;19;"";"";20;-0,1;"";"high_quality"
"BOKER";"";"440C";1,1;19;"";"";24;0,4;"";"high_quality"
"";"";"52100";0,96;3;"";"";20;0,8;"";"high_quality"
"";"";"ATS-34";1,05;18,8;"";"";24;0,8;"";"high_quality"
"Damascus";"";"15N20";0,75;3,5;"";"";24;1,2;"";"high_quality"
"GLOBAL Cromova-18";"";"Cromova-18";0,55;17;"";"";24;1,2;"";"high_quality"
"Japanese high-carbon";"";"";"";"";"";"";20;0,8;"";"high_quality"
"MIYABI";"5000FCD";"";"";"";"";"";24;1,6;"";"high_quality"
"MIYABI";"FC61";"";"";"";"";"";24;1,6;"";"high_quality"
"Tojiro";"";"";"";"";"";"";20;-0,1;"";"high_quality"
"V-Toku2";"";"";"";"";"";"";20;-0,1;"";"high_quality"
"Nitro-V";"";"";"";"";"";"";20;1,6;"";"high_quality"
"RWL-34";"";"";"";"";"";"";24;0,4;"";"high_quality"
"Sandvik";"";"12C27";0,6;14,5;"";"";24;1,6;"";"high_quality"
"";"";"VG10";1;18;"";"";24;0,8;"";"high_quality"
"";"";"CPM 20CV";1;25,6;"";"";24;0;"";"premium_quality"
"";"";"CPM S30V";1,45;20;"";"";24;-0,1;"";"premium_quality"
"";"";"CPM S35VN";1,4;19,5;"";"";24;0,4;"";"premium_quality"
"";"";"CPM S90V";2,3;24;"";"";24;0;"";"premium_quality"
"";"";"D2";1,55;12;"";"";30;0;"";"premium_quality"
"";"";"154CM";1,05;18,8;"";"";24;0,4;"";"high_quality"